Project Name / Project Number / PM,LSC SOLS Collaborative Classroom  / 2012-22810 / Bill Johns,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,*
Account Number:,WB11031 & IV6 4028,,,,,,,,,,,,,
Date Created - Project Type:,02/16/12 - General Renovation,,,,,,,,,,,,,
Supplemental:,No,,,,,,,,,,,,,
Provisions:,,,,,,,,,,,,,,
Capital Category:,,,,,,,,,,,,,,
,Appropriated Budget,,Budget Adjustments,,Adjusted Budget,,Encumbered ,,Expensed ,,Anticipated Costs,,Uncommitted Budget,Func Code
,Land Acquisition,,,,,,,,,,,,,
Land Acquisition,0,,0,,0,,0,,0,,0,,0,CLAC
Subtotal Land Acquisition Cost,0,,0,,0,,0,,0,,0,,0,
,,,,,,,,,,,,,,
,Construction Costs,,,,,,,,,,,,,
New Construction Shell/Core,0,,0,,0,,0,,0,,0,,0,CCON
Renovation,270759.43,,0,,270759.43,,0,,270759.43,,0,,0,CREN
Special Fixed Equipment,0,,0,,0,,0,,0,,0,,0,CSFE
Site Development / Utilities Extensions,0,,0,,0,,0,,0,,0,,0,CSDV
Landscaping / Signage,0,,0,,0,,0,,0,,0,,0,CPKL
Permits,0,,0,,0,,0,,0,,0,,0,CPKL
Demolition,19214.06,,0,,19214.06,,0,,19214.06,,0,,0,CDEM
Hazardous Materials Abatement / Testing,14268.48,,0,,14268.48,,0,,14268.48,,0,,0,CHMA
Subtotal Construction Cost,304241.97,,0,,304241.97,,0,,304241.97,,0,,0,
,,,,,,,,,,,,,,
,Consultants,,,,,,,,,,,,,
Construction Mgr,0,,0,,0,,0,,0,,0,,0,CCMG
Architect / Engineer,43229.17,,0,,43229.17,,0,,43229.17,,0,,0,CARE
Surveys and Tests,0,,0,,0,,0,,0,,0,,0,CSRT
Other ,0,,0,,0,,0,,0,,0,,0,COTH
Subtotal Consultant Cost,43229.17,,0,,43229.17,,0,,43229.17,,0,,0,
,,,,,,,,,,,,,,
,Additional University Costs,,,,,,,,,,,,,
FF & E,67613.44,,0,,67613.44,,0,,67613.44,,0,,0,CFFE
IT / Telecommunications,82762.02,,0,,82762.02,,0,,82762.02,,0,,0,CTCE
AV (Audio Visual),85800.66,,0,,85800.66,,0,,85800.66,,0,,0,CTCE
Security,0,,0,,0,,0,,0,,0,,0,CTCE
Move-in Costs,7061,,0,,7061,,0,,7061,,0,,0,CMIC
Printing/Advertisement/Misc Admin,0,,0,,0,,0,,0,,0,,0,CADM
Parking Replacement Reserve,0,,0,,0,,0,,0,,0,,0,PKRS
Facilities Support (FACMAN PO's Only),1503.01,,0,,1503.01,,0,,1503.01,,0,,0,CFSP
Subtotal Addl. University Cost,244740.13000000003,,0,,244740.13000000003,,0,,244740.13000000003,,0,,0,
,,,,,,,,,,,,,,
,Contingency Funds,,,,,,,,,,,,,
"Contingency, Design Phase",0,,0,,0,,0,,0,,0,,0,
"Contingency, Constr Phase",3410.26,,-3410,,0.2600000000002183,,0,,0,,0,,0.2600000000002183,
Subtotal Contingency,3410.26,,-3410,,0.2600000000002183,,0,,0,,0,0.0,0.2600000000002183,
,,,,,,,,,,,,,,
,Fees ,,,,,,,,,,,,,
Project Management Cost ( 5 % ),29670.135000000006,,0,,29670.135000000006,,0,,29670.14,,-0.0049999999937426765,,0,CPMF
FS  Fees ( 0.15 % ),890.1040500000001,,0,,890.1040500000001,,0,,890.1,,0.004050000000120235,,0,FSPM
EH&S Fees ( 0.21 % ),1246.15,,0,,1246.15,,0,,1246.15,,0,,0,EHSF
Purchasing Fees ( 0.30 % ),1780.21,,0,,1780.21,,0,,1780.21,,0,,0,PSPC
State Risk Mgt Ins ( 0.34 % ) ,1191.43,,0,,1191.43,,0,,1191.43,,0,,0,STRK
*Subtotal Fees ( 6 % Total ),34778.02905000001,,0,,34778.02905000001,,0,,34778.03,,-0.0009499999936224413,0.0,0,
,,,,,,,,,,,,,,
TOTALS,630399.55905,,-3410,,626989.55905,,0,,626989.3,,-0.0009499999936224413,0.0,0.2600000000002183,
,,,,,,,,,,,,,,
,,,,,,,,,,,"Funding Source A/O (145,400)    IV6 4028 =",,0.26,03-19-13 MV
,,,,,,,,,,,"Funding Source A/O  (484,999.56) WB1 1031 =",,0,03-19-13 MV
,,,,,,,,,,,  Advantage VS Project Budget Report Recon (Advantage less Totals E and F),,-0.0009499999934041714,
,,,,,,,,,,,,,,
,*Fees are estimated at 98% of actual rate to be conservative*,,,,,,,,,,Total Budget Amount To Date,,630400,
,,,,,,,,,,,,,,
,Budget Transactions,,,,,,,,,,,,,
,"1) A/O setup with $15,000 customer funded LM1 1016 on 2/23/12 (KL)",,,,,,,,,,,,,
,"2) A/O increased by $430K ($300K LM1 1016 & $130K LM1 1001) for a new budget total of $445,000 4/17/12 JM",,,,,,,,,,,,,
,"3) A/O setup with $128,000 for a total project budget of $573,000 4/17/12 JM",,,,,,,,,,,,,
,4) A/O increased by $40K to WB1 1031 (FY13) on 6/27/12 (JM),,,,,,,,,,,,,
,"5) A/O increased by $17,400 to IV6-4028 7/20/12  (PL)",,,,,,,,"630,399.56 Actual",,593402.7000000001,,,
,"6) Financially closed 12/26/13, funding returned to source EH",,,,,,,,,,,,,
